Time,Current (mA),Voltage (V),Power (W),Energy (kWh),Cost (BDT),Duration (min)
2025-08-01 17:38:58.589957,400.0,234.3,52.3,2.1216950085428025e-06,1.2730170051256817e-05,0
2025-08-01 17:40:02.719336,400.0,234.3,52.3,0.0009322342490222,0.0055934054941336,1
2025-08-01 17:41:03.777629,400.0,234.3,52.3,0.0018194389762613,0.0109166338575681,2
2025-08-01 17:42:04.722314,400.0,234.3,52.3,0.0027046829316284,0.0162280975897709,3
2025-08-01 17:43:05.636806,428.0,236.6,56.2,0.0036557917847037,0.0219347507082223,4
2025-08-01 17:44:05.732720,428.0,236.6,56.2,0.0046075853441887,0.0276455120651324,5
2025-08-01 17:45:07.512700,428.0,236.6,56.2,0.0055583204994135,0.0333499229964812,6
2025-08-01 17:57:47.546950,428.0,236.6,56.2,1.038872611111111e-06,6.233235666666666e-06,0
2025-08-01 17:59:06.282512,428.0,236.6,56.2,0.0012297810293888,0.0073786861763333,1
2025-08-01 18:00:06.772647,428.0,236.6,56.2,0.0021741442548333,0.013044865529,2
2025-08-01 18:01:31.829635,428.0,236.6,56.2,0.0009485706072222,0.0056914236433333,1
2025-08-01 18:03:12.027827,428.0,236.6,56.2,0.0009526929552777,0.0057161577316666,1
2025-08-01 18:04:12.642039,428.0,236.6,56.2,0.0018975947640555,0.0113855685843333,2
2025-08-01 18:05:18.570749,428.0,236.6,56.2,0.0009464312605555,0.0056785875633333,1
2025-08-01 18:06:18.993814,428.0,236.6,56.2,0.0018893541112222,0.0113361246673333,2
2025-08-01 18:07:19.036604,428.0,236.6,56.2,0.0028270371548888,0.0169622229293333,3
2025-08-01 18:08:19.703905,428.0,236.6,56.2,8.244813194444445e-05,0.0004946887916666,0
2025-08-01 18:09:22.439751,428.0,236.6,56.2,0.0003212062449444,0.0019272374696666,0
2025-08-01 18:10:24.363150,428.0,236.6,56.2,0.0012877746211666,0.007726647727,1
2025-08-01 18:11:24.974285,428.0,236.6,56.2,0.0006403703223888,0.0038422219343333,0
2025-08-01 18:12:25.593878,428.0,236.6,56.2,0.0015865645750555,0.0095193874503333,1
2025-08-01 18:13:26.616640,428.0,236.6,56.2,0.0025391252886111,0.0152347517316666,2
2025-08-01 18:14:26.995570,428.0,236.6,56.2,0.0034819281210555,0.0208915687263333,3
2025-08-01 18:15:27.292198,428.0,236.6,56.2,0.0008152616313888,0.0048915697883333,0
2025-08-01 18:16:27.870810,428.0,236.6,56.2,0.0017607913971111,0.0105647483826666,1
2025-08-01 18:17:28.786794,428.0,236.6,56.2,0.0027117157071666,0.016270294243,2
2025-08-01 18:18:32.798563,428.0,236.6,56.2,0.000632971889,0.003797831334,0
2025-08-01 18:19:37.234670,428.0,236.6,56.2,0.0016385802821111,0.0098314816926666,1
2025-08-01 18:20:38.748611,428.0,236.6,56.2,0.0025988287185555,0.0155929723113333,2
2025-08-01 18:21:39.198710,427.0,233.4,55.9,0.0035385012201944,0.0212310073211666,3
2025-08-01 18:22:39.615485,427.0,233.4,55.9,0.0044769491469166,0.0268616948815,4
2025-08-01 18:23:39.986243,427.0,233.4,55.9,0.0054139433009722,0.0324836598058333,5
2025-08-01 18:24:41.684869,524.0,234.8,69.8,0.00045639959255555553,0.002738397555333333,0
2025-08-01 18:25:43.847218,524.0,234.8,69.8,0.0016616799726666665,0.009970079835999998,1
2025-08-01 18:26:44.117564,524.0,234.8,69.8,0.002830249042777778,0.016981494256666667,2
2025-08-01 18:27:44.339786,524.0,234.8,69.8,0.003997929869111111,0.02398757921466667,3
2025-08-01 18:28:44.702177,524.0,234.8,69.8,0.0051693817373888885,0.03101629042433333,4
2025-08-01 18:29:45.573499,0.0,234.3,0.0,0.005751110545444444,0.03450666327266667,5
2025-08-01 18:30:45.919459,0.0,234.3,0.0,0.005751110545444444,0.03450666327266667,6
2025-08-01 18:31:46.730711,0.0,234.3,0.0,0.005751110545444444,0.03450666327266667,7
2025-08-01 18:32:47.566665,0.0,234.3,0.0,0.005751110545444444,0.03450666327266667,8
2025-08-01 18:33:48.396083,0.0,234.3,0.0,0.005751110545444444,0.03450666327266667,9
2025-08-01 18:34:49.204236,0.0,234.3,0.0,0.005751110545444444,0.03450666327266667,10
2025-08-01 18:35:50.032196,0.0,234.3,0.0,0.005751110545444444,0.03450666327266667,11
2025-08-01 18:36:50.839000,0.0,234.3,0.0,0.005751110545444444,0.03450666327266667,12
2025-08-01 18:37:51.068718,0.0,234.3,0.0,0.005751110545444444,0.03450666327266667,13
2025-08-01 18:38:51.891047,0.0,234.3,0.0,0.005751110545444444,0.03450666327266667,14
2025-08-01 18:39:52.854437,0.0,234.3,0.0,0.005751110545444444,0.03450666327266667,15
2025-08-01 18:40:53.864287,0.0,234.3,0.0,0.005751110545444444,0.03450666327266667,16
2025-08-01 18:41:54.844247,442.0,233.0,57.8,0.005916491469777778,0.035498948818666665,17
2025-08-01 18:42:55.697212,442.0,233.0,57.8,0.006893469617000001,0.04136081770200001,18
2025-08-01 18:43:56.533703,442.0,233.0,57.8,0.007870249269388889,0.047221495616333334,19
2025-08-01 18:44:57.390261,442.0,233.0,57.8,0.00884737326527778,0.05308423959166668,20
2025-08-01 18:45:58.221128,442.0,233.0,57.8,0.009823985056833337,0.05894391034100002,21
2025-08-01 18:46:59.051879,442.0,233.0,57.8,0.01080070671655556,0.06480424029933336,22
2025-08-01 18:47:59.891937,442.0,233.0,57.8,0.011778150860222226,0.07066890516133335,23
2025-08-01 18:49:00.242853,442.0,233.0,57.8,0.012746518958888894,0.07647911375333336,24
